Café | INDICADOR DO CAFÉ ARÁBICA CEPEA/ESALQ,,
Nota,"por saca de 60kg líqüido, bica corrida, tipo 6, bebida dura para melhor, valor descontado o Prazo de Pagamento pela taxa da NPR, posto na cidade de São Paulo",
Fonte,Cepea,
Data,À vista R$,À vista US$
02/01/2020,"534,42","132,84"
03/01/2020,"534,07","131,77"
06/01/2020,"514,24","126,32"
07/01/2020,"509,50","125,49"
08/01/2020,"502,34","124,07"
09/01/2020,"498,57","121,99"
10/01/2020,"502,57","123,15"
13/01/2020,"493,84","119,37"
14/01/2020,"491,04","118,93"
15/01/2020,"489,77","117,25"
16/01/2020,"487,70","116,28"
17/01/2020,"488,66","117,44"
20/01/2020,"488,08","116,51"
21/01/2020,"485,12","115,51"
22/01/2020,"487,44","116,70"
23/01/2020,"488,23","117,22"
24/01/2020,"485,06","115,88"
27/01/2020,"475,01","112,96"
28/01/2020,"475,97","113,49"
29/01/2020,"471,06","111,57"
30/01/2020,"470,22","110,35"
31/01/2020,"473,81","110,63"
03/02/2020,"453,70","106,78"
04/02/2020,"452,94","106,40"
05/02/2020,"455,96","107,44"
06/02/2020,"458,70","107,25"
07/02/2020,"461,41","106,83"
10/02/2020,"464,85","107,43"
11/02/2020,"467,40","108,05"
12/02/2020,"469,31","107,96"
13/02/2020,"484,06","111,43"
14/02/2020,"498,94","116,03"
17/02/2020,"498,77","115,30"
18/02/2020,"488,00","111,98"
19/02/2020,"493,29","112,91"
20/02/2020,"486,89","111,01"
21/02/2020,"501,10","114,14"
26/02/2020,"505,14","113,79"
27/02/2020,"511,41","114,41"
28/02/2020,"522,42","116,30"
02/03/2020,"533,54","118,96"
03/03/2020,"548,53","121,63"
04/03/2020,"547,90","119,68"
05/03/2020,"537,74","115,69"
06/03/2020,"525,30","113,48"
09/03/2020,"532,71","112,27"
10/03/2020,"544,28","117,20"
11/03/2020,"541,48","114,38"
12/03/2020,"544,55","113,02"
13/03/2020,"540,39","111,37"
16/03/2020,"543,26","108,00"
17/03/2020,"538,10","107,60"
18/03/2020,"558,49","106,83"
19/03/2020,"569,41","111,67"
20/03/2020,"575,57","114,00"
23/03/2020,"576,11","112,10"
24/03/2020,"582,94","114,48"
25/03/2020,"589,87","117,69"
26/03/2020,"582,00","116,31"
27/03/2020,"566,67","112,03"
30/03/2020,"577,85","111,66"
31/03/2020,"581,56","111,92"
01/04/2020,"579,37","110,15"
02/04/2020,"587,78","111,64"
03/04/2020,"581,63","109,43"
06/04/2020,"582,30","109,83"
07/04/2020,"588,37","112,78"
08/04/2020,"588,51","114,25"
09/04/2020,"584,08","114,53"
13/04/2020,"584,78","112,96"
14/04/2020,"582,10","112,22"
15/04/2020,"590,34","112,75"
16/04/2020,"591,03","112,39"
17/04/2020,"588,06","112,16"
20/04/2020,"586,62","110,56"
22/04/2020,"585,70","108,32"
23/04/2020,"590,29","107,25"
24/04/2020,"585,13","103,18"
27/04/2020,"583,76","102,25"
28/04/2020,"582,91","106,02"
29/04/2020,"575,41","107,41"
30/04/2020,"573,02","105,20"
04/05/2020,"573,79","103,59"
05/05/2020,"583,41","104,24"
06/05/2020,"586,64","102,90"
07/05/2020,"587,73","100,33"
08/05/2020,"597,52","103,95"
11/05/2020,"591,67","101,40"
12/05/2020,"583,78","99,59"
13/05/2020,"583,34","98,62"
14/05/2020,"588,86","100,88"
15/05/2020,"593,87","101,83"
18/05/2020,"586,52","102,65"
19/05/2020,"582,91","101,66"
20/05/2020,"579,38","102,06"
21/05/2020,"575,20","103,19"
22/05/2020,"568,90","101,95"
25/05/2020,"569,15","104,36"
26/05/2020,"559,06","104,69"
27/05/2020,"542,37","102,49"
28/05/2020,"535,77","99,90"
29/05/2020,"513,30","96,12"
01/06/2020,"507,99","94,44"
02/06/2020,"502,31","96,23"
03/06/2020,"499,13","98,49"
04/06/2020,"493,35","96,43"
05/06/2020,"487,68","98,16"
08/06/2020,"472,84","97,07"
09/06/2020,"468,92","96,15"
10/06/2020,"465,57","94,68"
12/06/2020,"468,75","92,66"
15/06/2020,"467,09","90,70"
16/06/2020,"465,41","89,07"
17/06/2020,"474,03","90,03"
18/06/2020,"479,19","88,97"
19/06/2020,"478,80","90,25"
22/06/2020,"478,47","90,83"
23/06/2020,"480,12","93,32"
24/06/2020,"484,13","91,07"
25/06/2020,"477,89","89,76"
26/06/2020,"488,60","89,36"
29/06/2020,"500,17","92,01"
30/06/2020,"507,79","93,34"
01/07/2020,"510,69","96,16"
02/07/2020,"512,81","95,82"
03/07/2020,"510,08","95,97"
06/07/2020,"491,88","92,08"
07/07/2020,"491,09","91,28"
08/07/2020,"492,97","92,23"
09/07/2020,"492,33","92,27"
10/07/2020,"488,95","91,91"
13/07/2020,"496,71","92,46"
14/07/2020,"488,80","91,52"
15/07/2020,"485,62","90,23"
16/07/2020,"490,91","92,19"
17/07/2020,"504,38","93,65"
20/07/2020,"495,50","92,89"
21/07/2020,"495,13","95,27"
22/07/2020,"508,14","99,28"
23/07/2020,"509,02","97,78"
24/07/2020,"507,23","97,38"
27/07/2020,"512,79","99,20"
28/07/2020,"517,67","100,46"
29/07/2020,"531,75","102,85"
30/07/2020,"541,57","105,04"
31/07/2020,"561,40","107,69"
03/08/2020,"569,74","106,87"
04/08/2020,"578,99","109,28"
05/08/2020,"585,17","110,45"
06/08/2020,"570,46","106,55"
07/08/2020,"565,29","104,30"
10/08/2020,"562,54","103,07"
11/08/2020,"560,21","103,65"
12/08/2020,"550,95","101,00"
13/08/2020,"557,61","103,84"
14/08/2020,"558,14","102,79"
17/08/2020,"566,51","102,95"
18/08/2020,"576,84","105,49"
19/08/2020,"577,33","104,53"
20/08/2020,"583,29","104,97"
21/08/2020,"590,78","105,35"
24/08/2020,"592,48","105,82"
25/08/2020,"596,21","107,93"
26/08/2020,"603,11","107,68"
27/08/2020,"596,04","107,03"
28/08/2020,"603,55","111,60"
31/08/2020,"610,57","111,50"
01/09/2020,"605,15","112,31"
02/09/2020,"605,24","113,00"
03/09/2020,"599,29","113,29"
04/09/2020,"606,06","114,22"
08/09/2020,"600,43","112,04"
09/09/2020,"585,43","110,69"
10/09/2020,"587,04","110,43"
11/09/2020,"592,71","111,12"
14/09/2020,"563,78","106,84"
15/09/2020,"561,54","106,23"
16/09/2020,"554,39","105,80"
17/09/2020,"554,16","105,80"
18/09/2020,"544,82","101,51"
21/09/2020,"538,25","99,62"
22/09/2020,"533,89","97,69"
23/09/2020,"534,51","95,84"
24/09/2020,"536,31","97,23"
25/09/2020,"542,53","97,86"
28/09/2020,"535,50","95,03"
29/09/2020,"534,81","94,89"
30/09/2020,"541,13","96,32"
01/10/2020,"532,37","94,19"
02/10/2020,"537,44","95,00"
05/10/2020,"531,65","95,60"
06/10/2020,"532,14","95,03"
07/10/2020,"533,47","94,97"
08/10/2020,"538,09","96,29"
09/10/2020,"537,80","97,22"
13/10/2020,"539,64","96,81"
14/10/2020,"540,05","96,39"
15/10/2020,"540,51","96,31"
16/10/2020,"538,88","95,46"
19/10/2020,"534,97","95,46"
20/10/2020,"531,09","94,87"
21/10/2020,"531,54","94,80"
22/10/2020,"539,87","96,44"
23/10/2020,"536,98","95,41"
26/10/2020,"538,84","95,79"
27/10/2020,"540,47","95,25"
28/10/2020,"538,56","93,78"
29/10/2020,"536,73","93,33"
30/10/2020,"537,58","93,52"
03/11/2020,"538,74","93,68"
04/11/2020,"535,61","94,60"
05/11/2020,"543,05","97,90"
06/11/2020,"542,82","100,75"
09/11/2020,"536,39","99,08"
10/11/2020,"534,97","99,46"
11/11/2020,"542,94","100,28"
12/11/2020,"551,64","100,92"
13/11/2020,"551,90","100,77"
16/11/2020,"564,36","103,90"
17/11/2020,"568,44","106,49"
18/11/2020,"588,52","110,11"
19/11/2020,"594,13","111,85"
20/11/2020,"579,30","107,84"
23/11/2020,"580,88","106,84"
24/11/2020,"578,02","107,34"
25/11/2020,"584,40","109,89"
26/11/2020,"578,52","108,54"
27/11/2020,"607,73","114,04"
30/11/2020,"606,99","113,39"
01/12/2020,"590,05","112,73"
02/12/2020,"593,06","113,07"
03/12/2020,"583,93","113,67"
04/12/2020,"581,96","113,49"
07/12/2020,"576,26","113,39"
08/12/2020,"580,91","113,26"
09/12/2020,"574,92","110,92"
10/12/2020,"586,40","116,42"
11/12/2020,"582,46","115,27"
14/12/2020,"600,37","117,49"
15/12/2020,"596,64","117,24"
16/12/2020,"608,32","118,67"
17/12/2020,"606,64","119,54"
18/12/2020,"604,03","118,74"
21/12/2020,"598,23","116,75"
22/12/2020,"598,68","115,91"
23/12/2020,"600,82","115,57"
28/12/2020,"607,83","116,02"
29/12/2020,"608,35","117,35"
30/12/2020,"606,69","116,99"
04/01/2021,"615,78","117,05"
05/01/2021,"615,40","116,93"
06/01/2021,"611,28","115,71"
07/01/2021,"614,98","114,16"
08/01/2021,"625,71","115,53"
11/01/2021,"615,56","112,10"
12/01/2021,"617,05","115,70"
13/01/2021,"632,25","119,29"
14/01/2021,"638,60","122,74"
15/01/2021,"651,99","123,34"
18/01/2021,"649,68","122,77"
19/01/2021,"650,54","121,60"
20/01/2021,"650,54","122,30"
21/01/2021,"654,24","122,15"
22/01/2021,"658,67","120,37"
25/01/2021,"657,46","119,36"
26/01/2021,"655,25","122,98"
27/01/2021,"658,68","122,05"
28/01/2021,"662,22","121,82"
29/01/2021,"658,33","120,07"
01/02/2021,"672,19","123,31"
02/02/2021,"669,70","124,99"
03/02/2021,"669,33","124,83"
04/02/2021,"667,61","122,41"
05/02/2021,"668,91","124,20"
08/02/2021,"664,66","123,73"
09/02/2021,"665,12","123,58"
10/02/2021,"659,86","122,67"
11/02/2021,"659,55","122,32"
12/02/2021,"657,97","122,34"
17/02/2021,"670,04","123,62"
18/02/2021,"683,70","125,68"
19/02/2021,"680,94","125,94"
22/02/2021,"701,50","128,90"
23/02/2021,"724,96","132,97"
24/02/2021,"725,02","133,45"
25/02/2021,"746,14","135,51"
26/02/2021,"746,50","133,76"
01/03/2021,"747,32","133,47"
02/03/2021,"748,80","132,18"
03/03/2021,"747,51","129,96"
04/03/2021,"738,50","130,41"
05/03/2021,"735,85","129,23"
08/03/2021,"730,76","126,67"
09/03/2021,"737,48","127,39"
10/03/2021,"739,17","130,69"
11/03/2021,"736,80","133,09"
12/03/2021,"737,64","132,57"
15/03/2021,"737,18","130,59"
16/03/2021,"740,98","132,06"
17/03/2021,"741,90","132,89"
18/03/2021,"736,20","132,43"
19/03/2021,"724,48","132,01"
22/03/2021,"729,71","132,36"
23/03/2021,"717,04","130,04"
24/03/2021,"713,49","127,11"
25/03/2021,"716,41","126,42"
26/03/2021,"729,25","126,91"
29/03/2021,"727,77","126,20"
