Data,À vista R$,À vista US$
02/01/2014,"281,71","117,82"
03/01/2014,"288,81","121,55"
06/01/2014,"292,39","123,01"
07/01/2014,"291,20","122,61"
08/01/2014,"298,69","124,97"
09/01/2014,"293,06","122,26"
10/01/2014,"292,01","123,47"
13/01/2014,"290,60","123,40"
14/01/2014,"289,07","122,69"
15/01/2014,"286,32","121,53"
16/01/2014,"290,75","123,04"
17/01/2014,"288,66","122,89"
20/01/2014,"285,86","122,21"
21/01/2014,"286,59","121,33"
22/01/2014,"284,89","120,26"
23/01/2014,"287,14","119,64"
24/01/2014,"285,03","118,91"
27/01/2014,"284,22","117,35"
28/01/2014,"284,06","117,04"
29/01/2014,"288,49","118,43"
30/01/2014,"294,70","121,98"
31/01/2014,"303,32","125,44"
03/02/2014,"324,65","133,33"
04/02/2014,"339,41","140,72"
05/02/2014,"351,97","146,66"
06/02/2014,"346,52","145,41"
07/02/2014,"344,69","144,89"
10/02/2014,"341,16","141,74"
11/02/2014,"341,96","142,31"
12/02/2014,"344,38","142,13"
13/02/2014,"338,85","140,83"
14/02/2014,"341,38","143,20"
17/02/2014,"340,42","142,61"
18/02/2014,"369,78","154,53"
19/02/2014,"387,99","162,20"
20/02/2014,"386,19","162,67"
21/02/2014,"388,45","164,87"
24/02/2014,"410,08","174,95"
25/02/2014,"405,46","173,35"
26/02/2014,"404,16","171,69"
27/02/2014,"406,28","174,97"
28/02/2014,"412,67","176,20"
05/03/2014,"447,63","193,11"
06/03/2014,"441,77","190,58"
07/03/2014,"447,24","190,40"
10/03/2014,"472,22","200,77"
11/03/2014,"485,01","205,25"
12/03/2014,"483,97","205,07"
13/03/2014,"485,62","205,33"
14/03/2014,"476,82","202,82"
17/03/2014,"469,91","200,05"
18/03/2014,"464,75","198,52"
19/03/2014,"455,77","193,78"
20/03/2014,"411,42","176,57"
21/03/2014,"387,29","166,65"
24/03/2014,"397,27","171,16"
25/03/2014,"393,57","170,60"
26/03/2014,"393,91","170,53"
27/03/2014,"397,58","175,38"
28/03/2014,"399,40","176,57"
31/03/2014,"396,35","174,84"
01/04/2014,"393,32","173,57"
02/04/2014,"391,08","172,13"
03/04/2014,"392,33","172,23"
04/04/2014,"415,34","185,09"
07/04/2014,"424,29","191,38"
08/04/2014,"442,29","200,58"
09/04/2014,"447,57","203,63"
10/04/2014,"463,25","210,47"
11/04/2014,"458,44","206,50"
14/04/2014,"457,27","206,26"
15/04/2014,"438,77","196,14"
16/04/2014,"444,12","198,18"
17/04/2014,"473,80","211,52"
22/04/2014,"491,28","219,13"
23/04/2014,"494,95","222,65"
24/04/2014,"488,05","220,14"
25/04/2014,"464,33","207,10"
28/04/2014,"466,13","209,31"
29/04/2014,"471,84","212,25"
30/04/2014,"470,59","210,65"
02/05/2014,"465,84","209,75"
05/05/2014,"469,72","209,04"
06/05/2014,"464,03","208,36"
07/05/2014,"467,19","210,45"
08/05/2014,"457,59","206,96"
09/05/2014,"428,42","193,24"
12/05/2014,"430,40","193,96"
13/05/2014,"422,25","190,63"
14/05/2014,"422,99","191,66"
15/05/2014,"443,67","199,67"
16/05/2014,"426,71","192,82"
19/05/2014,"421,52","190,91"
20/05/2014,"418,93","188,88"
21/05/2014,"400,16","181,15"
22/05/2014,"403,97","182,30"
23/05/2014,"415,03","186,61"
26/05/2014,"418,62","188,23"
27/05/2014,"413,00","184,29"
28/05/2014,"406,10","181,86"
29/05/2014,"415,00","186,60"
30/05/2014,"403,70","180,22"
02/06/2014,"396,77","174,56"
03/06/2014,"400,22","175,61"
04/06/2014,"397,59","174,08"
05/06/2014,"401,37","177,28"
06/06/2014,"402,05","178,85"
09/06/2014,"384,60","172,54"
10/06/2014,"384,16","172,50"
11/06/2014,"401,19","179,42"
12/06/2014,"399,06","178,71"
13/06/2014,"399,45","179,13"
16/06/2014,"398,10","178,04"
17/06/2014,"391,06","173,34"
18/06/2014,"387,72","173,87"
20/06/2014,"396,18","177,58"
23/06/2014,"399,45","180,09"
24/06/2014,"399,41","179,43"
25/06/2014,"406,40","184,23"
26/06/2014,"399,76","181,87"
27/06/2014,"388,37","176,69"
30/06/2014,"401,77","181,63"
01/07/2014,"378,89","171,83"
02/07/2014,"381,44","171,51"
03/07/2014,"391,18","176,68"
04/07/2014,"386,79","174,62"
07/07/2014,"387,79","174,29"
08/07/2014,"387,61","175,07"
09/07/2014,"388,74","175,35"
10/07/2014,"371,48","167,26"
11/07/2014,"364,29","163,95"
14/07/2014,"369,80","167,11"
15/07/2014,"368,06","165,64"
16/07/2014,"367,49","165,39"
17/07/2014,"375,37","166,83"
18/07/2014,"387,17","173,62"
21/07/2014,"386,86","174,03"
22/07/2014,"379,47","171,63"
23/07/2014,"396,10","178,42"
24/07/2014,"399,87","180,12"
25/07/2014,"398,04","178,66"
28/07/2014,"403,26","181,40"
29/07/2014,"403,41","180,90"
30/07/2014,"416,01","185,06"
31/07/2014,"431,89","190,26"
01/08/2014,"464,70","205,53"
04/08/2014,"438,69","194,20"
05/08/2014,"437,34","191,40"
06/08/2014,"445,44","195,97"
07/08/2014,"433,60","188,77"
08/08/2014,"416,91","182,46"
11/08/2014,"441,68","194,23"
12/08/2014,"429,53","188,47"
13/08/2014,"429,96","188,41"
14/08/2014,"435,01","191,55"
15/08/2014,"441,83","195,15"
18/08/2014,"436,83","193,46"
19/08/2014,"416,98","185,24"
20/08/2014,"420,33","185,99"
21/08/2014,"422,83","186,60"
22/08/2014,"422,18","185,17"
25/08/2014,"427,83","187,15"
26/08/2014,"448,44","197,90"
27/08/2014,"457,56","203,09"
28/08/2014,"457,83","204,12"
29/08/2014,"455,54","203,18"
01/09/2014,"452,84","201,98"
02/09/2014,"461,74","205,77"
03/09/2014,"448,50","200,67"
04/09/2014,"448,29","199,77"
05/09/2014,"446,96","199,27"
08/09/2014,"427,30","188,57"
09/09/2014,"427,74","186,95"
10/09/2014,"406,62","177,56"
11/09/2014,"421,98","184,11"
12/09/2014,"424,00","181,35"
15/09/2014,"419,25","179,01"
16/09/2014,"424,26","182,16"
17/09/2014,"424,15","180,11"
18/09/2014,"419,53","177,39"
19/09/2014,"412,89","173,63"
22/09/2014,"417,73","174,42"
23/09/2014,"425,37","176,65"
24/09/2014,"434,56","182,21"
25/09/2014,"419,34","172,57"
26/09/2014,"443,94","183,90"
29/09/2014,"459,63","187,53"
30/09/2014,"470,88","192,20"
01/10/2014,"479,62","193,08"
02/10/2014,"496,99","199,76"
03/10/2014,"501,20","202,67"
06/10/2014,"510,23","210,06"
07/10/2014,"508,68","211,42"
08/10/2014,"504,05","211,70"
09/10/2014,"511,05","214,01"
10/10/2014,"507,07","209,70"
13/10/2014,"503,09","210,59"
14/10/2014,"507,69","211,36"
15/10/2014,"498,88","204,63"
16/10/2014,"508,38","205,91"
17/10/2014,"493,18","202,46"
20/10/2014,"471,64","191,57"
21/10/2014,"462,02","186,75"
22/10/2014,"459,51","184,69"
23/10/2014,"457,21","182,23"
24/10/2014,"446,22","181,17"
27/10/2014,"446,78","176,87"
28/10/2014,"448,63","181,49"
29/10/2014,"438,83","178,02"
30/10/2014,"439,08","181,96"
31/10/2014,"442,90","179,17"
03/11/2014,"435,76","174,10"
04/11/2014,"442,75","176,47"
05/11/2014,"441,49","175,68"
06/11/2014,"440,54","172,76"
07/11/2014,"451,07","175,79"
10/11/2014,"449,46","175,91"
11/11/2014,"453,57","176,97"
12/11/2014,"453,99","177,34"
13/11/2014,"464,89","179,08"
14/11/2014,"478,06","184,29"
17/11/2014,"462,71","177,83"
18/11/2014,"468,05","180,78"
19/11/2014,"495,93","192,22"
20/11/2014,"473,98","184,29"
21/11/2014,"466,54","185,58"
24/11/2014,"479,06","187,86"
25/11/2014,"480,16","189,19"
26/11/2014,"468,61","187,07"
27/11/2014,"464,07","184,23"
28/11/2014,"448,50","174,72"
01/12/2014,"455,46","178,40"
02/12/2014,"459,18","178,39"
03/12/2014,"466,72","182,67"
04/12/2014,"459,55","177,71"
05/12/2014,"453,81","174,81"
08/12/2014,"447,22","171,28"
09/12/2014,"454,94","175,31"
10/12/2014,"453,04","173,44"
11/12/2014,"452,62","170,74"
12/12/2014,"452,87","170,32"
15/12/2014,"454,43","169,12"
16/12/2014,"453,18","165,33"
17/12/2014,"451,11","166,95"
18/12/2014,"458,60","172,79"
19/12/2014,"459,69","173,08"
22/12/2014,"457,14","171,73"
23/12/2014,"452,20","167,05"
26/12/2014,"450,29","168,21"
29/12/2014,"457,85","169,32"
30/12/2014,"454,13","171,05"
02/01/2015,"450,59","167,38"
05/01/2015,"459,38","169,14"
06/01/2015,"469,24","173,92"
07/01/2015,"472,96","174,72"
08/01/2015,"493,53","184,98"
09/01/2015,"493,90","187,16"
12/01/2015,"499,31","187,15"
13/01/2015,"490,92","186,45"
14/01/2015,"494,51","188,74"
15/01/2015,"490,22","186,11"
16/01/2015,"476,20","181,69"
19/01/2015,"472,64","178,35"
20/01/2015,"452,19","172,86"
21/01/2015,"447,34","171,66"
22/01/2015,"440,45","170,98"
23/01/2015,"442,78","171,49"
26/01/2015,"442,19","170,93"
27/01/2015,"449,05","174,66"
28/01/2015,"455,93","177,06"
29/01/2015,"445,68","170,89"
30/01/2015,"445,43","165,90"
02/02/2015,"456,06","168,10"
03/02/2015,"442,69","164,33"
04/02/2015,"469,05","170,75"
05/02/2015,"475,12","173,27"
06/02/2015,"482,90","174,21"
09/02/2015,"483,60","173,96"
10/02/2015,"463,80","163,83"
11/02/2015,"475,00","165,51"
12/02/2015,"482,45","170,42"
13/02/2015,"487,83","172,07"
